engine,scenario,accounts,overhead_us,threads,run,tps
Serial,Hotspot_90pct,1000,1,1,5,1162592
Serial,Hotspot_90pct,1000,1,1,6,1160263
LEAP-base,Hotspot_90pct,1000,1,1,0,216758
LEAP-base,Hotspot_90pct,1000,1,1,1,226918
LEAP-base,Hotspot_90pct,1000,1,1,2,242604
LEAP-base,Hotspot_90pct,1000,1,1,3,239352
LEAP-base,Hotspot_90pct,1000,1,1,4,242241
LEAP-base,Hotspot_90pct,1000,1,1,5,245761
LEAP-base,Hotspot_90pct,1000,1,1,6,237762
LEAP-base,Hotspot_90pct,1000,1,2,0,282099
LEAP-base,Hotspot_90pct,1000,1,2,1,276896
LEAP-base,Hotspot_90pct,1000,1,2,2,283969
LEAP-base,Hotspot_90pct,1000,1,2,3,276122
LEAP-base,Hotspot_90pct,1000,1,2,4,283122
LEAP-base,Hotspot_90pct,1000,1,2,5,300262
LEAP-base,Hotspot_90pct,1000,1,2,6,283094
LEAP-base,Hotspot_90pct,1000,1,4,0,335081
LEAP-base,Hotspot_90pct,1000,1,4,1,362265
LEAP-base,Hotspot_90pct,1000,1,4,2,337867
LEAP-base,Hotspot_90pct,1000,1,4,3,339646
LEAP-base,Hotspot_90pct,1000,1,4,4,329077
LEAP-base,Hotspot_90pct,1000,1,4,5,305112
LEAP-base,Hotspot_90pct,1000,1,4,6,335464
LEAP-base,Hotspot_90pct,1000,1,8,0,554309
LEAP-base,Hotspot_90pct,1000,1,8,1,473852
LEAP-base,Hotspot_90pct,1000,1,8,2,474544
LEAP-base,Hotspot_90pct,1000,1,8,3,526649
LEAP-base,Hotspot_90pct,1000,1,8,4,474111
LEAP-base,Hotspot_90pct,1000,1,8,5,494624
LEAP-base,Hotspot_90pct,1000,1,8,6,507919
LEAP-base,Hotspot_90pct,1000,1,16,0,378252
LEAP-base,Hotspot_90pct,1000,1,16,1,510913
LEAP-base,Hotspot_90pct,1000,1,16,2,786143
LEAP-base,Hotspot_90pct,1000,1,16,3,699363
LEAP-base,Hotspot_90pct,1000,1,16,4,588259
LEAP-base,Hotspot_90pct,1000,1,16,5,338504
LEAP-base,Hotspot_90pct,1000,1,16,6,732959
LEAP,Hotspot_90pct,1000,1,1,0,253803
LEAP,Hotspot_90pct,1000,1,1,1,258326
LEAP,Hotspot_90pct,1000,1,1,2,254382
LEAP,Hotspot_90pct,1000,1,1,3,256919
LEAP,Hotspot_90pct,1000,1,1,4,255115
LEAP,Hotspot_90pct,1000,1,1,5,256153
LEAP,Hotspot_90pct,1000,1,1,6,237208
LEAP,Hotspot_90pct,1000,1,2,0,305217
LEAP,Hotspot_90pct,1000,1,2,1,311794
LEAP,Hotspot_90pct,1000,1,2,2,314854
LEAP,Hotspot_90pct,1000,1,2,3,309701
LEAP,Hotspot_90pct,1000,1,2,4,323458
LEAP,Hotspot_90pct,1000,1,2,5,310554
LEAP,Hotspot_90pct,1000,1,2,6,300920
LEAP,Hotspot_90pct,1000,1,4,0,347854
LEAP,Hotspot_90pct,1000,1,4,1,339628
LEAP,Hotspot_90pct,1000,1,4,2,386915
LEAP,Hotspot_90pct,1000,1,4,3,347009
LEAP,Hotspot_90pct,1000,1,4,4,378662
LEAP,Hotspot_90pct,1000,1,4,5,344541
LEAP,Hotspot_90pct,1000,1,4,6,334511
LEAP,Hotspot_90pct,1000,1,8,0,537835
LEAP,Hotspot_90pct,1000,1,8,1,550088
LEAP,Hotspot_90pct,1000,1,8,2,586313
LEAP,Hotspot_90pct,1000,1,8,3,549329
LEAP,Hotspot_90pct,1000,1,8,4,532633
LEAP,Hotspot_90pct,1000,1,8,5,561977
LEAP,Hotspot_90pct,1000,1,8,6,600450
LEAP,Hotspot_90pct,1000,1,16,0,781765
LEAP,Hotspot_90pct,1000,1,16,1,546639
LEAP,Hotspot_90pct,1000,1,16,2,530813
LEAP,Hotspot_90pct,1000,1,16,3,504972
LEAP,Hotspot_90pct,1000,1,16,4,524087
LEAP,Hotspot_90pct,1000,1,16,5,354290
LEAP,Hotspot_90pct,1000,1,16,6,708987
Serial,Uniform,1000,3,1,0,387907
Serial,Uniform,1000,3,1,1,389024
Serial,Uniform,1000,3,1,2,386344
Serial,Uniform,1000,3,1,3,388928
Serial,Uniform,1000,3,1,4,388385
Serial,Uniform,1000,3,1,5,388484
Serial,Uniform,1000,3,1,6,387224
LEAP-base,Uniform,1000,3,1,0,168539
LEAP-base,Uniform,1000,3,1,1,170255
LEAP-base,Uniform,1000,3,1,2,170643
LEAP-base,Uniform,1000,3,1,3,171403
LEAP-base,Uniform,1000,3,1,4,166162
LEAP-base,Uniform,1000,3,1,5,169973
LEAP-base,Uniform,1000,3,1,6,166684
LEAP-base,Uniform,1000,3,2,0,273695
LEAP-base,Uniform,1000,3,2,1,267187
LEAP-base,Uniform,1000,3,2,2,269349
LEAP-base,Uniform,1000,3,2,3,266876
LEAP-base,Uniform,1000,3,2,4,257395
LEAP-base,Uniform,1000,3,2,5,268108
LEAP-base,Uniform,1000,3,2,6,262708
LEAP-base,Uniform,1000,3,4,0,332791
LEAP-base,Uniform,1000,3,4,1,328254
LEAP-base,Uniform,1000,3,4,2,333261
LEAP-base,Uniform,1000,3,4,3,311397
LEAP-base,Uniform,1000,3,4,4,308290
LEAP-base,Uniform,1000,3,4,5,284321
LEAP-base,Uniform,1000,3,4,6,305322
LEAP-base,Uniform,1000,3,8,0,443148
LEAP-base,Uniform,1000,3,8,1,534820
LEAP-base,Uniform,1000,3,8,2,517555
LEAP-base,Uniform,1000,3,8,3,478639
LEAP-base,Uniform,1000,3,8,4,480774
LEAP-base,Uniform,1000,3,8,5,447768
LEAP-base,Uniform,1000,3,8,6,457250
LEAP-base,Uniform,1000,3,16,0,615571
LEAP-base,Uniform,1000,3,16,1,362738
LEAP-base,Uniform,1000,3,16,2,323493
LEAP-base,Uniform,1000,3,16,3,781918
LEAP-base,Uniform,1000,3,16,4,736152
LEAP-base,Uniform,1000,3,16,5,677789
LEAP-base,Uniform,1000,3,16,6,297448
LEAP,Uniform,1000,3,1,0,164681
LEAP,Uniform,1000,3,1,1,166390
LEAP,Uniform,1000,3,1,2,171828
LEAP,Uniform,1000,3,1,3,162497
LEAP,Uniform,1000,3,1,4,163674
LEAP,Uniform,1000,3,1,5,166336
LEAP,Uniform,1000,3,1,6,170563
LEAP,Uniform,1000,3,2,0,262711
LEAP,Uniform,1000,3,2,1,260673
LEAP,Uniform,1000,3,2,2,265425
LEAP,Uniform,1000,3,2,3,262567
LEAP,Uniform,1000,3,2,4,260992
LEAP,Uniform,1000,3,2,5,259468
LEAP,Uniform,1000,3,2,6,263301
LEAP,Uniform,1000,3,4,0,350082
LEAP,Uniform,1000,3,4,1,355656
LEAP,Uniform,1000,3,4,2,343662
LEAP,Uniform,1000,3,4,3,356020
LEAP,Uniform,1000,3,4,4,352828
LEAP,Uniform,1000,3,4,5,353318
LEAP,Uniform,1000,3,4,6,329248
LEAP,Uniform,1000,3,8,0,491416
LEAP,Uniform,1000,3,8,1,508138
LEAP,Uniform,1000,3,8,2,451700
LEAP,Uniform,1000,3,8,3,456964
LEAP,Uniform,1000,3,8,4,515190
LEAP,Uniform,1000,3,8,5,495247
LEAP,Uniform,1000,3,8,6,523465
LEAP,Uniform,1000,3,16,0,802354
LEAP,Uniform,1000,3,16,1,518072
LEAP,Uniform,1000,3,16,2,692752
LEAP,Uniform,1000,3,16,3,338343
LEAP,Uniform,1000,3,16,4,469609
LEAP,Uniform,1000,3,16,5,778592
LEAP,Uniform,1000,3,16,6,712734
Serial,Hotspot_90pct,1000,3,1,0,387630
Serial,Hotspot_90pct,1000,3,1,1,387714
Serial,Hotspot_90pct,1000,3,1,2,389193
Serial,Hotspot_90pct,1000,3,1,3,388508
Serial,Hotspot_90pct,1000,3,1,4,388178
Serial,Hotspot_90pct,1000,3,1,5,388661
Serial,Hotspot_90pct,1000,3,1,6,388725
LEAP-base,Hotspot_90pct,1000,3,1,0,169054
LEAP-base,Hotspot_90pct,1000,3,1,1,163669
LEAP-base,Hotspot_90pct,1000,3,1,2,167589
LEAP-base,Hotspot_90pct,1000,3,1,3,170277
LEAP-base,Hotspot_90pct,1000,3,1,4,167897
LEAP-base,Hotspot_90pct,1000,3,1,5,168646
LEAP-base,Hotspot_90pct,1000,3,1,6,170961
LEAP-base,Hotspot_90pct,1000,3,2,0,254947
LEAP-base,Hotspot_90pct,1000,3,2,1,268339
LEAP-base,Hotspot_90pct,1000,3,2,2,268860
LEAP-base,Hotspot_90pct,1000,3,2,3,269339
LEAP-base,Hotspot_90pct,1000,3,2,4,267745
LEAP-base,Hotspot_90pct,1000,3,2,5,267758
LEAP-base,Hotspot_90pct,1000,3,2,6,270320
LEAP-base,Hotspot_90pct,1000,3,4,0,320787
LEAP-base,Hotspot_90pct,1000,3,4,1,377440
LEAP-base,Hotspot_90pct,1000,3,4,2,294135
LEAP-base,Hotspot_90pct,1000,3,4,3,334477
LEAP-base,Hotspot_90pct,1000,3,4,4,333574
LEAP-base,Hotspot_90pct,1000,3,4,5,339281
LEAP-base,Hotspot_90pct,1000,3,4,6,358096
LEAP-base,Hotspot_90pct,1000,3,8,0,499956
LEAP-base,Hotspot_90pct,1000,3,8,1,450127
LEAP-base,Hotspot_90pct,1000,3,8,2,486161
LEAP-base,Hotspot_90pct,1000,3,8,3,498839
LEAP-base,Hotspot_90pct,1000,3,8,4,507084
LEAP-base,Hotspot_90pct,1000,3,8,5,489270
LEAP-base,Hotspot_90pct,1000,3,8,6,474606
LEAP-base,Hotspot_90pct,1000,3,16,0,820436
LEAP-base,Hotspot_90pct,1000,3,16,1,667001
LEAP-base,Hotspot_90pct,1000,3,16,2,787755
LEAP-base,Hotspot_90pct,1000,3,16,3,618023
LEAP-base,Hotspot_90pct,1000,3,16,4,291858
LEAP-base,Hotspot_90pct,1000,3,16,5,482773
LEAP-base,Hotspot_90pct,1000,3,16,6,682479
LEAP,Hotspot_90pct,1000,3,1,0,170134
LEAP,Hotspot_90pct,1000,3,1,1,164011
LEAP,Hotspot_90pct,1000,3,1,2,167191
LEAP,Hotspot_90pct,1000,3,1,3,168208
LEAP,Hotspot_90pct,1000,3,1,4,166063
LEAP,Hotspot_90pct,1000,3,1,5,164685
LEAP,Hotspot_90pct,1000,3,1,6,167379
LEAP,Hotspot_90pct,1000,3,2,0,273597
LEAP,Hotspot_90pct,1000,3,2,1,257548
LEAP,Hotspot_90pct,1000,3,2,2,269954
LEAP,Hotspot_90pct,1000,3,2,3,273380
LEAP,Hotspot_90pct,1000,3,2,4,265226
LEAP,Hotspot_90pct,1000,3,2,5,268621
LEAP,Hotspot_90pct,1000,3,2,6,265061
LEAP,Hotspot_90pct,1000,3,4,0,355906
LEAP,Hotspot_90pct,1000,3,4,1,357476
LEAP,Hotspot_90pct,1000,3,4,2,355164
LEAP,Hotspot_90pct,1000,3,4,3,340019
LEAP,Hotspot_90pct,1000,3,4,4,350741
LEAP,Hotspot_90pct,1000,3,4,5,340899
LEAP,Hotspot_90pct,1000,3,4,6,325519
LEAP,Hotspot_90pct,1000,3,8,0,497500
LEAP,Hotspot_90pct,1000,3,8,1,518022
LEAP,Hotspot_90pct,1000,3,8,2,541067
LEAP,Hotspot_90pct,1000,3,8,3,475123
LEAP,Hotspot_90pct,1000,3,8,4,496959
LEAP,Hotspot_90pct,1000,3,8,5,512078
LEAP,Hotspot_90pct,1000,3,8,6,497252
LEAP,Hotspot_90pct,1000,3,16,0,624372
LEAP,Hotspot_90pct,1000,3,16,1,718649
LEAP,Hotspot_90pct,1000,3,16,2,520369
LEAP,Hotspot_90pct,1000,3,16,3,430568
LEAP,Hotspot_90pct,1000,3,16,4,742861
LEAP,Hotspot_90pct,1000,3,16,5,664326
LEAP,Hotspot_90pct,1000,3,16,6,472510
Serial,Uniform,1000,10,1,0,116744
Serial,Uniform,1000,10,1,1,116312
Serial,Uniform,1000,10,1,2,116606
Serial,Uniform,1000,10,1,3,116595
Serial,Uniform,1000,10,1,4,116608
Serial,Uniform,1000,10,1,5,116615
Serial,Uniform,1000,10,1,6,116591
LEAP-base,Uniform,1000,10,1,0,81082
LEAP-base,Uniform,1000,10,1,1,81214
LEAP-base,Uniform,1000,10,1,2,80796
LEAP-base,Uniform,1000,10,1,3,81605
LEAP-base,Uniform,1000,10,1,4,80654
LEAP-base,Uniform,1000,10,1,5,80711
LEAP-base,Uniform,1000,10,1,6,80564
LEAP-base,Uniform,1000,10,2,0,148973
LEAP-base,Uniform,1000,10,2,1,150787
LEAP-base,Uniform,1000,10,2,2,148470
LEAP-base,Uniform,1000,10,2,3,149657
LEAP-base,Uniform,1000,10,2,4,147984
LEAP-base,Uniform,1000,10,2,5,150308
LEAP-base,Uniform,1000,10,2,6,145473
LEAP-base,Uniform,1000,10,4,0,266871
LEAP-base,Uniform,1000,10,4,1,263730
LEAP-base,Uniform,1000,10,4,2,265589
LEAP-base,Uniform,1000,10,4,3,266274
LEAP-base,Uniform,1000,10,4,4,267959
LEAP-base,Uniform,1000,10,4,5,269013
LEAP-base,Uniform,1000,10,4,6,263692
LEAP-base,Uniform,1000,10,8,0,357890
LEAP-base,Uniform,1000,10,8,1,376970
LEAP-base,Uniform,1000,10,8,2,357065
LEAP-base,Uniform,1000,10,8,3,396751
LEAP-base,Uniform,1000,10,8,4,368713
LEAP-base,Uniform,1000,10,8,5,340258
LEAP-base,Uniform,1000,10,8,6,389832
LEAP-base,Uniform,1000,10,16,0,519106
LEAP-base,Uniform,1000,10,16,1,541253
LEAP-base,Uniform,1000,10,16,2,308419
LEAP-base,Uniform,1000,10,16,3,422190
LEAP-base,Uniform,1000,10,16,4,585143
LEAP-base,Uniform,1000,10,16,5,294802
LEAP-base,Uniform,1000,10,16,6,701305
LEAP,Uniform,1000,10,1,0,80962
LEAP,Uniform,1000,10,1,1,81670
LEAP,Uniform,1000,10,1,2,79918
LEAP,Uniform,1000,10,1,3,79635
LEAP,Uniform,1000,10,1,4,80273
LEAP,Uniform,1000,10,1,5,80895
LEAP,Uniform,1000,10,1,6,80970
LEAP,Uniform,1000,10,2,0,149111
LEAP,Uniform,1000,10,2,1,148710
LEAP,Uniform,1000,10,2,2,150028
LEAP,Uniform,1000,10,2,3,147300
LEAP,Uniform,1000,10,2,4,147509
LEAP,Uniform,1000,10,2,5,149882
LEAP,Uniform,1000,10,2,6,147961
LEAP,Uniform,1000,10,4,0,258500
LEAP,Uniform,1000,10,4,1,257638
LEAP,Uniform,1000,10,4,2,259250
LEAP,Uniform,1000,10,4,3,264421
LEAP,Uniform,1000,10,4,4,264489
LEAP,Uniform,1000,10,4,5,259344
