engine,scenario,accounts,overhead_us,threads,run,tps
LEAP-base,Hotspot_90pct,1000,50,4,0,48728
LEAP-base,Hotspot_90pct,1000,50,4,1,47436
LEAP-base,Hotspot_90pct,1000,50,4,2,45937
LEAP-base,Hotspot_90pct,1000,50,4,3,48634
LEAP-base,Hotspot_90pct,1000,50,4,4,48110
LEAP-base,Hotspot_90pct,1000,50,4,5,46938
LEAP-base,Hotspot_90pct,1000,50,4,6,47060
LEAP-base,Hotspot_90pct,1000,50,8,0,30819
LEAP-base,Hotspot_90pct,1000,50,8,1,31225
LEAP-base,Hotspot_90pct,1000,50,8,2,31996
LEAP-base,Hotspot_90pct,1000,50,8,3,31034
LEAP-base,Hotspot_90pct,1000,50,8,4,31586
LEAP-base,Hotspot_90pct,1000,50,8,5,30545
LEAP-base,Hotspot_90pct,1000,50,8,6,31749
LEAP-base,Hotspot_90pct,1000,50,16,0,21118
LEAP-base,Hotspot_90pct,1000,50,16,1,19486
LEAP-base,Hotspot_90pct,1000,50,16,2,19958
LEAP-base,Hotspot_90pct,1000,50,16,3,20220
LEAP-base,Hotspot_90pct,1000,50,16,4,19738
LEAP-base,Hotspot_90pct,1000,50,16,5,21002
LEAP-base,Hotspot_90pct,1000,50,16,6,21244
LEAP,Hotspot_90pct,1000,50,1,0,21366
LEAP,Hotspot_90pct,1000,50,1,1,21411
LEAP,Hotspot_90pct,1000,50,1,2,21355
LEAP,Hotspot_90pct,1000,50,1,3,21398
LEAP,Hotspot_90pct,1000,50,1,4,21441
LEAP,Hotspot_90pct,1000,50,1,5,21411
LEAP,Hotspot_90pct,1000,50,1,6,21354
LEAP,Hotspot_90pct,1000,50,2,0,40887
LEAP,Hotspot_90pct,1000,50,2,1,40630
LEAP,Hotspot_90pct,1000,50,2,2,40812
LEAP,Hotspot_90pct,1000,50,2,3,40850
LEAP,Hotspot_90pct,1000,50,2,4,40397
LEAP,Hotspot_90pct,1000,50,2,5,40685
LEAP,Hotspot_90pct,1000,50,2,6,40481
LEAP,Hotspot_90pct,1000,50,4,0,65676
LEAP,Hotspot_90pct,1000,50,4,1,62937
LEAP,Hotspot_90pct,1000,50,4,2,61179
LEAP,Hotspot_90pct,1000,50,4,3,62178
LEAP,Hotspot_90pct,1000,50,4,4,53547
LEAP,Hotspot_90pct,1000,50,4,5,55663
LEAP,Hotspot_90pct,1000,50,4,6,58877
LEAP,Hotspot_90pct,1000,50,8,0,47482
LEAP,Hotspot_90pct,1000,50,8,1,47861
LEAP,Hotspot_90pct,1000,50,8,2,46835
LEAP,Hotspot_90pct,1000,50,8,3,47303
LEAP,Hotspot_90pct,1000,50,8,4,48990
LEAP,Hotspot_90pct,1000,50,8,5,45371
LEAP,Hotspot_90pct,1000,50,8,6,47418
LEAP,Hotspot_90pct,1000,50,16,0,35083
LEAP,Hotspot_90pct,1000,50,16,1,37758
LEAP,Hotspot_90pct,1000,50,16,2,37204
LEAP,Hotspot_90pct,1000,50,16,3,32498
LEAP,Hotspot_90pct,1000,50,16,4,38165
LEAP,Hotspot_90pct,1000,50,16,5,38056
LEAP,Hotspot_90pct,1000,50,16,6,36854
Serial,Uniform,1000,100,1,0,11642
Serial,Uniform,1000,100,1,1,11639
Serial,Uniform,1000,100,1,2,11641
Serial,Uniform,1000,100,1,3,11640
Serial,Uniform,1000,100,1,4,11638
Serial,Uniform,1000,100,1,5,11641
Serial,Uniform,1000,100,1,6,11640
LEAP-base,Uniform,1000,100,1,0,10964
LEAP-base,Uniform,1000,100,1,1,10934
LEAP-base,Uniform,1000,100,1,2,10961
LEAP-base,Uniform,1000,100,1,3,10938
LEAP-base,Uniform,1000,100,1,4,10965
