experiment,system,variable,nodes,workers,rate,run,consensus_tps,consensus_bps,consensus_latency_ms,e2e_tps,e2e_bps,e2e_latency_ms,with_exec_tps,with_exec_bps,with_exec_latency_ms,duration_s
E2E-2,Tusk+LeapBase,Zipf_1.2,4,1,50000,1,43090.0,22062296.0,904.0,42964.0,21997787.0,1052.0,42976.0,22003670.0,1052.0,60.0
E2E-2,Tusk+LeapBase,Zipf_1.2,4,1,50000,2,43523.0,22283920.0,813.0,43398.0,22219698.0,958.0,43411.0,22226402.0,928.0,60.0
E2E-2,Tusk+LeapBase,Zipf_1.2,4,1,50000,3,42644.0,21833980.0,825.0,42521.0,21770992.0,972.0,42371.0,21694006.0,935.0,60.0
E2E-2,Tusk+LeapBase,Hotspot_50pct,4,1,50000,1,42664.0,21843806.0,801.0,42540.0,21780301.0,949.0,42546.0,21783596.0,921.0,60.0
E2E-2,Tusk+LeapBase,Hotspot_50pct,4,1,50000,2,44840.0,22957948.0,788.0,44711.0,22892116.0,935.0,44647.0,22859362.0,917.0,60.0
E2E-2,Tusk+LeapBase,Hotspot_50pct,4,1,50000,3,44174.0,22617006.0,1960.0,44045.0,22551217.0,2108.0,44051.0,22553872.0,3145.0,59.0
E2E-2,Tusk+LeapBase,Hotspot_90pct,4,1,50000,1,43537.0,22291135.0,832.0,43405.0,22223390.0,977.0,43329.0,22184419.0,1035.0,57.0
E2E-2,Tusk+LeapBase,Hotspot_90pct,4,1,50000,2,43435.0,22238528.0,833.0,43307.0,22173332.0,983.0,43277.0,22157742.0,997.0,60.0
E2E-2,Tusk+LeapBase,Hotspot_90pct,4,1,50000,3,43405.0,22223239.0,960.0,43282.0,22160130.0,1111.0,43245.0,22141199.0,1270.0,60.0
E2E-3,MP3+LEAP,4,4,1,50000,1,41074.0,21029836.0,556.0,40955.0,20969171.0,700.0,41050.0,21017534.0,592.0,60.0
E2E-3,MP3+LEAP,4,4,1,50000,2,45230.0,23157744.0,518.0,45101.0,23091750.0,663.0,45198.0,23141500.0,556.0,60.0
E2E-3,MP3+LEAP,4,4,1,50000,3,46856.0,23990335.0,505.0,46720.0,23920709.0,650.0,46824.0,23973892.0,541.0,60.0
E2E-3,MP3+LEAP,10,10,1,50000,1,47428.0,24282888.0,561.0,47175.0,24153832.0,780.0,39204.0,20072432.0,4837.0,60.0
E2E-3,MP3+LEAP,10,10,1,50000,2,47119.0,24124901.0,577.0,46864.0,23994603.0,794.0,39259.0,20100692.0,4137.0,60.0
